id	word	hint	level	file
139	मापिका	māpikā	1	word_139.mp3
140	करः	karaḥ	2	word_140.mp3
141	कणक	kaṇaka	1	word_141.mp3
142	नाविकः	nāvikaḥ	2	word_142.mp3
143	पीडा	pīḍā	1	word_143.mp3
144	वेदना	vedanā	1	word_144.mp3
145	कथनम्	kathanam	2	word_145.mp3
146	भोजन	bhojana	1	word_146.mp3
147	भौतिक	bhautika	1	word_147.mp3
148	बीजम्	bījam	2	word_148.mp3
149	पीनसः	pīnasaḥ	2	word_149.mp3
150	नूपुरम्	nūpuram	2	word_150.mp3
151	पूता	pūtā	1	word_151.mp3
152	पीयूषः	pīyūṣaḥ	2	word_152.mp3
153	यमकम्	yamakam	2	word_153.mp3
154	दाडिम	dāḍima	1	word_154.mp3
155	नवीनः	navoīnaḥ	2	word_155.mp3
156	मृगः	mṛgaḥ	2	word_156.mp3
157	वृकः	vṛkaḥ	2	word_157.mp3
158	भूमिः	bhūmiḥ	2	word_158.mp3
159	आकाशः	ākāśaḥ	2	word_159.mp3
160	वायुः	vāyuḥ	2	word_160.mp3
161	हिमालयः	himālayaḥ	2	word_161.mp3
162	तृणम्	tṛṇam	2	word_162.mp3
163	कीलकम्	kīlakam	2	word_163.mp3
164	निधानिका	nidhānikā	1	word_164.mp3
165	घटः	ghaṭaḥ	2	word_165.mp3
166	गुरवः	guravaḥ	2	word_166.mp3
167	गुरू	gurū	1	word_167.mp3
168	लघु	laghu	1	word_168.mp3
169	खादतमोदत	khādatamodata	1	word_169.mp3
170	अच्	ac	2	word_170.mp3
171	मत्	mat	2	word_171.mp3
172	पठ्	paṭh	2	word_172.mp3
173	जश्	jaś	2	word_173.mp3
174	इक्	ik	2	word_174.mp3
175	वस्	vas	2	word_175.mp3
176	इण्	iṇ	2	word_176.mp3
177	नम्	nam	2	word_177.mp3
178	खय्	khay	2	word_178.mp3
179	अल्	al	2	word_179.mp3
180	वयस्	vayas	2	word_180.mp3
181	शरत्	śarat	2	word_181.mp3
182	सरस्	saras	2	word_182.mp3
183	तरप्	tarap	2	word_183.mp3
184	मघवत्	maghavat	2	word_184.mp3
185	भवत्	bhavat	2	word_185.mp3
186	अपठन्	apaṭhan	2	word_186.mp3
187	अखादत्	akhādat	2	word_187.mp3
188	मनस्	manas	3	word_188.mp3
189	अकरवम्	akaravam	2	word_189.mp3
190	अंहस्	aṃhas	2	word_190.mp3
191	संयति	saṃyati	3	word_191.mp3
192	शिरांसि	śirāṃsi	3	word_192.mp3
193	पतितपावनः	patitapāvanaḥ	2	word_193.mp3
194	निषसाद	niṣasāda	1	word_194.mp3
195	मीमांसा	mīmāṃsā	3	word_195.mp3
196	संहिता	saṃhitā	3	word_196.mp3
197	विंशति	viṃśati	3	word_197.mp3
198	संसारः	saṃsāraḥ	3	word_198.mp3
199	हंसिनी	haṃsinī	3	word_199.mp3
200	संसदि	saṃsadi	3	word_200.mp3
201	संयुगे	saṃyuge	3	word_201.mp3
202	वासांसि	vāsāṃsi	3	word_202.mp3
